"","model","dataset","priorHyperParameter","execFolder","sgrna","gene","logRatioLeftBound","logRatioRightBound","logRatio"
"148","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",148,"TGFBR2",-0.673464807815909,2.31722453273706,1.19061302008096
"149","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",149,"TGFBR2",-3.11871079520839,-0.229358484245526,-1.59355445824264
"150","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",150,"TGFBR2",-2.72724708198659,1.05258332107071,-0.697868475948065
"151","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",151,"TGFBR3",-3.67944557705123,-1.0235443005515,-2.25203790103348
"152","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",152,"TGFBR3",-2.69145503643133,0.364613083567277,-1.10699402829136
"153","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",153,"TGFBR3",-3.08621609260241,-0.266683559141796,-1.55338725183806
"154","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",154,"YAP1",-3.34639291224153,-1.1242952257291,-2.15249214741361
"155","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",155,"YAP1",-2.23673495948148,1.50243139882836,-0.18924451337173
"156","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",156,"YAP1",-1.73183616116143,1.42046759147272,0.0718668808953997
"157","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",157,"MYC",-1.01102296241447,2.3123460190868,1.08357887369033
"158","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",158,"MYC",-2.84652100758808,0.822890508309281,-0.86339284187951
"159","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",159,"MYC",-0.598978661976339,2.24005286099901,1.28659969646546
"160","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",160,"MYCN",-2.93629016477183,0.106349114300664,-1.35236368449976
"161","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",161,"MYCN",-2.22675180281663,0.965857547885794,-0.411622298427566
"162","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",162,"MYCN",-3.5058955702882,-1.03898554298388,-2.22777571493794
"163","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",163,"MDM2",-2.52368975019089,0.389882066839634,-0.942336740579398
"164","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",164,"MDM2",-3.46543757325797,-1.2843013187412,-2.2843115682291
"165","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",165,"MDM2",-3.56435557425497,-1.74208378509385,-2.56112102079893
"166","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",166,"TP53",-2.21298119854894,1.48809119855299,-0.0731207905974299
"167","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",167,"TP53",-3.12595318047212,-0.845659992797059,-1.89176406544776
"168","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",168,"TP53",-3.36372244005603,0.13284439938821,-1.55135146483589
"169","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",169,"BRCA1",-2.8927056437842,0.915645567145408,-1.25778384957519
"170","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",170,"BRCA1",-2.36460815243132,0.797543828176673,-0.682446181708638
"171","humi.models.LocalLambdaMixBNB$Builder","X0804_3181.csv",0.1,"exec_107",171,"BRCA1",-2.33437137905397,0.766444871328819,-0.660603536783979
